game,subject_mark,winner,subject_result,reason,attempts,moves,subject_decisions,subject_legal,subject_illegal,subject_optimal_legal,opponent_decisions,opponent_legal,opponent_illegal,opponent_optimal_legal
978,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
979,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
980,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
981,X,X,W,illegal_forfeit:O,8,7,4,4,0,3,4,3,1,2
982,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
983,X,X,W,illegal_forfeit:O,4,3,2,2,0,1,2,1,1,0
984,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,1
985,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
986,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,2
987,X,X,W,illegal_forfeit:O,6,5,3,3,0,3,3,2,1,1
988,O,X,L,illegal_forfeit:O,2,1,1,0,1,0,1,1,0,1
989,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
990,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
991,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
992,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
993,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
994,O,O,W,illegal_forfeit:X,7,6,3,3,0,3,4,3,1,3
995,X,X,W,illegal_forfeit:O,8,7,4,4,0,1,4,3,1,0
996,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
997,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
998,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
999,X,X,W,normal,9,9,5,5,0,5,4,4,0,3
1000,O,O,W,illegal_forfeit:X,7,6,3,3,0,3,4,3,1,2
